entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:API,TICKER,API,CTCP Đầu tư Châu Á - Thái Bình Dương,1,462.46,CTCP Đầu tư Châu Á - Thái Bình Dương | Đầu tư Châu Á - Thái Bình Dương,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:APS,TICKER,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,1,489.7,CTCP Chứng khoán Châu Á Thái Bình Dương | Chứng khoán Châu Á Thái Bình Dương,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
SECURITY_OTHER:APS12201,SECURITY_OTHER,APS12201,APS12201,1,,,,Tài chính,Quỹ,Quỹ,industry_classification/industry_classification.xlsx
TICKER:ARM,TICKER,ARM,CTCP Xuất nhập khẩu Hàng không,2,142.5,CTCP Xuất nhập khẩu Hàng không | Xuất nhập khẩu Hàng không,,Công nghiệp,Cơ sở hạ tầng giao thông vận tải,Dịch vụ sân bay,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ART,TICKER,ART,CTCP Chứng khoán ARTEX,2,126.0,CTCP Chứng khoán ARTEX | Chứng khoán ARTEX,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ASA,TICKER,ASA,CTCP ASA,2,126.0,CTCP ASA | ASA,,Hàng tiêu dùng không thiết yếu,Bán lẻ,Bán lẻ,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ASG,TICKER,ASG,CTCP Tập đoàn ASG,1,1452.55,CTCP Tập đoàn ASG | ASG,,Công nghiệp,Cơ sở hạ tầng giao thông vận tải,Dịch vụ sân bay,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
SECURITY_OTHER:ASIAGF,SECURITY_OTHER,ASIAGF,ASIAGF,1,,,,Tài chính,Quỹ,Quỹ,industry_classification/industry_classification.xlsx
TICKER:ASM,TICKER,ASM,CTCP Tập đoàn Sao Mai,1,2072.62,CTCP Tập đoàn Sao Mai | Sao Mai,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ASP,TICKER,ASP,CTCP Tập đoàn Dầu khí An Pha,1,567.56,CTCP Tập đoàn Dầu khí An Pha | Dầu khí An Pha,,Năng lượng,Năng lượng,Dầu khí,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AST,TICKER,AST,CTCP Dịch vụ Hàng không Taseco,1,3439.8,CTCP Dịch vụ Hàng không Taseco | Dịch vụ Hàng không Taseco,,Công nghiệp,Cơ sở hạ tầng giao thông vận tải,Dịch vụ sân bay,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ATG,TICKER,ATG,CTCP ATG Planet,2,120.24,CTCP ATG Planet | ATG Planet,,Nguyên vật liệu,Kim loại & Khai khoáng,Kim loại không chứa sắt,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AVC,TICKER,AVC,CTCP Thủy điện A Vương,1,3039.61,CTCP Thủy điện A Vương | Thủy điện A Vương,,Dịch vụ công cộng,Dịch vụ công cộng,Điện,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AVG,TICKER,AVG,CTCP Phân bón Quốc tế Âu Việt,2,136.14,CTCP Phân bón Quốc tế Âu Việt | Phân bón Quốc tế Âu Việt,,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BAB,TICKER,BAB,Ngân hàng TMCP Bắc Á,1,12447.55,Ngân hàng TMCP Bắc Á | Bắc Á,,Tài chính,Ngân hàng,Ngân hàng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BAF,TICKER,BAF,CTCP Nông nghiệp BAF Việt Nam,1,11619.67,CTCP Nông nghiệp BAF Việt Nam | Nông nghiệp BAF Việt Nam,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BAX,TICKER,BAX,CTCP Thống Nhất,2,246.0,CTCP Thống Nhất | Thống Nhất,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BBC,TICKER,BBC,CTCP Bibica,1,1819.01,CTCP Bibica | Bibica,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BBT,TICKER,BBT,CTCP Bông Bạch Tuyết,2,246.96,CTCP Bông Bạch Tuyết | Bông Bạch Tuyết,,Y tế,Dịch vụ & thiết bị y tế,Thiết bị & Vật tư y tế,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCA,TICKER,BCA,CTCP B.C.H,1,875.0,CTCP B.C.H | B.C.H,,Nguyên vật liệu,Kim loại & Khai khoáng,Thép,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCC,TICKER,BCC,CTCP Xi măng Bỉm Sơn,1,702.3,CTCP Xi măng Bỉm Sơn | Xi măng Bỉm Sơn,,Nguyên vật liệu,Vật liệu xây dựng,Vật liệu xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCE,TICKER,BCE,CTCP Xây dựng và Giao thông Bình Dương,2,229.32,CTCP Xây dựng và Giao thông Bình Dương | Xây dựng và Giao thông Bình Dương,,Công nghiệp,Tư liệu sản xuất,Xây dựng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:BCF,TICKER,BCF,CTCP Thực phẩm Bích Chi,1,1538.14,CTCP Thực phẩm Bích Chi | Thực phẩm Bích Chi,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
